iter	Passed	Remaining
0	965	964256
1	1301	649550
2	1614	536690
3	2105	524329
4	2372	472042
5	2619	434001
6	2849	404172
7	3077	381550
8	3272	360312
9	3512	347783
10	3813	342836
11	4177	343922
12	4347	330045
13	4635	326476
14	4906	322212
15	5134	315789
16	5327	308065
17	5585	304731
18	5891	304205
19	6136	300683
20	6370	297007
21	6609	293829
22	6835	290342
23	7067	287411
24	7294	284469
25	7499	280946
26	7704	277643
27	7928	275228
28	8152	272975
29	8357	270212
30	8595	268673
31	8840	267410
32	9036	264795
33	9265	263252
34	9470	261121
35	9685	259344
36	9850	256367
37	9984	252756
38	10185	250980
39	10370	248885
40	10544	246650
41	10765	245557
42	10949	243700
43	11103	241239
44	11279	239375
45	11446	237381
46	11640	236021
47	11832	234685
48	12026	233419
49	12220	232198
50	12413	230995
51	12610	229899
52	12792	228583
53	13021	228118
54	13212	227021
55	13446	226675
56	13663	226047
57	13865	225196
58	14045	224013
59	14229	222924
60	14420	221974
61	14630	221346
62	14796	220066
63	14996	219324
64	15200	218659
65	15408	218055
66	15623	217567
67	15820	216839
68	16047	216528
69	16261	216052
70	16471	215519
71	16716	215455
72	16915	214801
73	17142	214508
74	17356	214064
75	17602	214005
76	17824	213658
77	18063	213517
78	18271	213014
79	18501	212766
80	18752	212755
81	18976	212439
82	19186	211980
83	19413	211698
84	19661	211653
85	19926	211772
86	20151	211473
87	20368	211086
88	20593	210797
89	20803	210345
90	21030	210075
91	21247	209702
92	21479	209480
93	21698	209133
94	21937	208983
95	22154	208623
96	22392	208456
97	22617	208169
98	22804	207547
99	22997	206979
100	23226	206741
101	23438	206348
102	23705	206442
103	23972	206532
104	24396	207954
105	25799	217589
106	26845	224044
107	27224	224855
108	27677	226244
109	28050	226953
110	28700	229858
111	29227	231733
112	29404	230813
113	29660	230520
114	29946	230455
115	30205	230190
116	30581	230798
117	31655	236612
118	32849	243198
119	34713	254563
120	35605	258653
121	36103	259826
122	36605	260998
123	37123	262256
124	37770	264395
125	38147	264609
126	38593	265289
127	39216	267160
128	39755	268427
129	40353	270055
130	41125	272812
131	42583	280017
132	43875	286017
133	44521	287728
134	45865	293879
135	47149	299537
136	48064	302768
137	48642	303841
138	49255	305099
139	49811	305984
140	50194	305796
141	50692	306298
142	51075	306093
143	51493	306100
144	51726	305009
145	52068	304567
146	52484	304551
147	52931	304713
148	53261	304199
149	53701	304308
150	54010	303676
151	54301	302943
152	54631	302439
153	54929	301754
154	55110	300443
155	55372	299581
156	55591	298492
157	55890	297845
158	56349	298048
159	56741	297892
160	57133	297730
161	57478	297325
162	57836	296991
163	58193	296645
164	58483	295960
165	58675	294793
166	59000	294296
167	59298	293671
168	59547	292805
169	59796	291948
170	60079	291262
171	60363	290586
172	60727	290298
173	61049	289808
174	61335	289153
175	61608	288441
176	61856	287614
177	62078	286677
178	62396	286187
179	62769	285950
180	63058	285329
181	63346	284712
182	63568	283799
183	63785	282874
184	64005	281971
185	64242	281147
186	64530	280552
187	64785	279817
188	65090	279302
189	65181	277877
190	65442	277188
191	65699	276484
192	65959	275799
193	66241	275209
194	66524	274625
195	66826	274125
196	67140	273675
197	67638	273969
198	67869	273181
199	68156	272625
200	68406	271922
201	68639	271161
202	68920	270589
203	69175	269918
204	69409	269174
205	69628	268374
206	69839	267548
207	70043	266703
208	70304	266079
209	70551	265407
210	70818	264813
211	71068	264160
212	71356	263649
213	71588	262937
214	71943	262676
215	72681	263805
216	74014	267067
217	74781	268252
218	75368	268779
219	76053	269645
220	76609	270041
221	77184	270495
222	77639	270520
223	78153	270744
224	79095	272440
225	79649	272781
226	80091	272734
227	80464	272451
228	80736	271825
229	81191	271814
230	81863	272525
231	82594	273414
232	83116	273605
233	83635	273782
234	84082	273715
235	84390	273194
236	84680	272622
237	84927	271911
238	85234	271393
239	85547	270899
240	85846	270362
241	86151	269846
242	86484	269417
243	86757	268806
244	87010	268134
245	87224	267347
246	87511	266785
247	87760	266112
248	88012	265451
249	88218	264655
250	88592	264367
251	88896	263867
252	89183	263321
253	89535	262965
254	89961	262828
255	90285	262392
256	90678	262157
257	90989	261683
258	91324	261279
259	91597	260699
260	91895	260193
261	92155	259584
262	92862	260226
263	93194	259814
264	94534	262200
265	95378	263187
266	95748	262859
267	96101	262486
268	96431	262050
269	96742	261563
270	97128	261279
271	97446	260813
272	97759	260333
273	98432	260809
274	98784	260432
275	99149	260089
276	99482	259659
277	99876	259392
278	100248	259065
279	100501	258433
280	100746	257780
281	101000	257157
282	101298	256647
283	101955	257042
284	102360	256799
285	102741	256494
286	103028	255956
287	103280	255331
288	103599	254876
289	103871	254306
290	104108	253651
291	104516	253417
292	104989	253337
293	105356	252999
294	105630	252439
295	105909	251892
296	106207	251394
297	106459	250786
298	106698	250152
299	106925	249493
300	107172	248883
301	107396	248221
302	107640	247607
303	107902	247041
304	108146	246431
305	108435	245928
306	108729	245437
307	108973	244837
308	109246	244302
309	109544	243825
310	109826	243313
311	110114	242817
312	110437	242399
313	110750	241958
314	111001	241384
315	111235	240774
316	111474	240179
317	111731	239624
318	111985	239066
319	112223	238475
320	112449	237861
321	112709	237319
322	112929	236697
323	113150	236079
324	113387	235496
325	113592	234851
326	113807	234228
327	113927	233413
328	114152	232814
329	114383	232232
330	114629	231683
331	114842	231069
332	115072	230491
333	115315	229941
334	115533	229342
335	115740	228725
336	115937	228091
337	116158	227505
338	116369	226903
339	116602	226346
340	116812	225746
341	117038	225178
342	117272	224629
343	117517	224102
344	117768	223589
345	118002	223044
346	118217	222467
347	118431	221889
348	118635	221293
349	118865	220749
350	119124	220262
351	119356	219725
352	119599	219208
353	119828	218669
354	120048	218116
355	120466	217922
356	120741	217470
357	120941	216883
358	121202	216408
359	121457	215923
360	121715	215446
361	121925	214884
362	122127	214312
363	122377	213824
364	122609	213306
365	122816	212748
366	123063	212259
367	123312	211776
368	123537	211252
369	123824	210836
370	124052	210320
371	124300	209839
372	124524	209321
373	124754	208813
374	124965	208276
375	125211	207797
376	125456	207318
377	125685	206816
378	125901	206292
379	126123	205779
380	126336	205254
381	126534	204708
382	126741	204175
383	126971	203684
384	127125	203071
385	127347	202568
386	127563	202057
387	127790	201566
388	127989	201031
389	128218	200546
390	128410	200005
391	128659	199553
392	128866	199038
393	129097	198561
394	129371	198151
395	129599	197672
396	129840	197214
397	130051	196711
398	130275	196228
399	130510	195765
400	130706	195244
401	130940	194781
402	131184	194335
403	131386	193828
404	131614	193358
405	131868	192930
406	132082	192444
407	132338	192019
408	132552	191537
409	132794	191094
410	133050	190673
411	133295	190236
412	133525	189781
413	133763	189337
414	133991	188879
415	134214	188416
416	134470	188001
417	134697	187545
418	134931	187100
419	135161	186651
420	135387	186198
421	135679	185835
422	135937	185427
423	136198	185024
