iter	Passed	Remaining
0	780	779273
1	1439	718169
2	2018	670688
3	2602	647927
4	3124	621704
5	3695	612166
6	4374	620557
7	5064	627972
8	5642	621354
9	6175	611362
10	6681	600724
11	7063	581578
12	7361	558935
13	7635	537784
14	7913	519685
15	8338	512803
16	8865	512625
17	9248	504581
18	9615	496463
19	10023	491163
20	10421	485835
21	10790	479680
22	11213	476325
23	11565	470324
24	12005	468214
25	12351	462702
26	12641	455574
27	13019	451953
28	13444	450146
29	13861	448191
30	14578	455701
31	15105	456931
32	15532	455142
33	15805	449054
34	15997	441081
35	16317	436934
36	16614	432419
37	16908	428045
38	17215	424211
39	17511	420268
40	17819	416814
41	18429	420378
42	18957	421921
43	19601	425885
44	19936	423107
45	20197	418877
46	20540	416498
47	20860	413741
48	21232	412087
49	21444	407440
50	21759	404889
51	22127	403407
52	22550	402925
53	22777	399023
54	23135	397517
55	23550	396991
56	23920	395729
57	24214	393276
58	24590	392195
59	24949	390882
60	25285	389229
61	25601	387329
62	25907	385317
63	26602	389060
64	27002	388421
65	27404	387818
66	27785	386916
67	28111	385293
68	28389	383058
69	28963	384802
70	29509	386113
71	30003	386713
72	30408	386149
73	30681	383937
74	30942	381618
75	31565	383764
76	32041	384085
77	32641	385837
78	33050	385314
79	33501	385264
80	34240	388484
81	34621	387594
82	34940	386025
83	35244	384336
84	35550	382689
85	35868	381205
86	36161	379492
87	36524	378531
88	36903	377740
89	37189	376031
90	37436	373951
91	37815	373217
92	38153	372102
93	38480	370890
94	38814	369755
95	39102	368214
96	39403	366822
97	40174	369769
98	40577	369300
99	41304	371737
100	41621	370472
101	41985	369640
102	42388	369147
103	42739	368214
104	43171	367982
105	43587	367614
106	43978	367038
107	44597	368342
108	45235	369772
109	45797	370546
110	46162	369718
111	46416	368014
112	46747	366947
113	47091	365995
114	47406	364826
115	47773	364068
116	48097	362992
117	48605	363306
118	49063	363232
119	49402	362285
120	49894	362459
121	50377	362555
122	50653	361166
123	50980	360149
124	51393	359756
125	51912	360088
126	52225	358997
127	52441	357256
128	52934	357412
129	53358	357090
130	53666	356001
131	53976	354936
132	54241	353589
133	54774	353991
134	55267	354119
135	55614	353313
136	56028	352935
137	56629	353728
138	57145	353970
139	57661	354209
140	58947	359121
141	59555	359848
142	60154	360505
143	60642	360487
144	60920	359219
145	61229	358149
146	61836	358818
147	62237	358288
148	62580	357420
149	62942	356674
150	63331	356083
151	63667	355197
152	64229	355569
153	64573	354736
154	64909	353861
155	65297	353276
156	65747	353027
157	66145	352495
158	66492	351697
159	66792	350659
160	67117	349758
161	67493	349134
162	67888	348606
163	68275	348038
164	68632	347323
165	68997	346651
166	69278	345561
167	69641	344889
168	70028	344341
169	70432	343877
170	70799	343234
171	70883	341230
172	71200	340362
173	71527	339551
174	71879	338862
175	72263	338324
176	72702	338045
177	73015	337185
178	73331	336343
179	73758	336009
180	74147	335509
181	74368	334250
182	74713	333555
183	75064	332896
184	75255	331529
185	75619	330937
186	76013	330475
187	76382	329907
188	76799	329548
189	77163	328959
190	77497	328247
191	77814	327469
192	78175	326877
193	78528	326258
194	78895	325696
195	79234	325021
196	79641	324628
197	79709	322862
198	80059	322249
199	80410	321643
200	80811	321234
201	81135	320524
202	81513	320031
203	81935	319708
204	82332	319290
205	82671	318646
206	83067	318226
207	83489	317903
208	84078	318209
209	84433	317631
210	84843	317259
211	85154	316515
212	85504	315924
213	85857	315345
214	86113	314412
215	86461	313821
216	87309	315039
217	87673	314497
218	88051	314010
219	88385	313368
220	88770	312904
221	89102	312261
222	89505	311862
223	89904	311455
